date,hour,state,cases,newcases,deaths,newdeaths
2020-03-10,16:05,Acre,0,0,0,0
2020-03-11,16:45,Acre,0,0,0,0
2020-03-12,16:20,Acre,0,0,0,0
2020-03-13,15:45,Acre,0,0,0,0
2020-03-14,16:25,Acre,0,0,0,0
2020-03-15,19:15,Acre,0,0,0,0
2020-03-16,15:50,Acre,0,0,0,0
2020-03-17,18:10,Acre,0,0,0,0
2020-03-18,20:00,Acre,0,0,0,0
2020-03-19,,Acre,4,4,0,0
2020-03-20,,Acre,7,3,0,0
2020-03-21,,Acre,11,4,0,0
2020-03-22,,Acre,11,0,0,0
2020-03-23,,Acre,17,6,0,0
2020-03-24,,Acre,21,4,0,0
2020-03-25,,Acre,23,2,0,0
2020-03-26,,Acre,24,1,0,0
2020-03-27,,Acre,25,1,0,0
2020-03-28,,Acre,25,0,0,0
2020-03-29,,Acre,34,9,0,0
2020-02-27,17:00,Alagoas,0,0,0,0
2020-02-28,16:10,Alagoas,0,0,0,0
2020-02-29,19:05,Alagoas,0,0,0,0
2020-03-01,15:05,Alagoas,0,0,0,0
2020-03-02,16:30,Alagoas,0,0,0,0
2020-03-03,15:50,Alagoas,0,0,0,0
2020-03-04,17:15,Alagoas,0,0,0,0
2020-03-05,16:00,Alagoas,0,0,0,0
2020-03-06,16:00,Alagoas,0,0,0,0
2020-03-07,18:35,Alagoas,0,0,0,0
2020-03-08,17:30,Alagoas,1,1,0,0
2020-03-10,16:05,Alagoas,1,0,0,0
2020-03-11,16:45,Alagoas,1,0,0,0
2020-03-12,16:20,Alagoas,1,0,0,0
2020-03-13,15:45,Alagoas,1,0,0,0
2020-03-14,16:25,Alagoas,1,0,0,0
2020-03-15,19:15,Alagoas,1,0,0,0
2020-03-16,15:50,Alagoas,1,0,0,0
2020-03-17,18:10,Alagoas,1,0,0,0
2020-03-18,20:00,Alagoas,1,0,0,0
2020-03-19,,Alagoas,4,3,0,0
2020-03-20,,Alagoas,6,2,0,0
2020-03-21,,Alagoas,7,1,0,0
2020-03-22,,Alagoas,7,0,0,0
2020-03-23,,Alagoas,8,1,0,0
2020-03-24,,Alagoas,7,-1,0,0
2020-03-25,,Alagoas,11,4,0,0
2020-03-26,,Alagoas,11,0,0,0
2020-03-27,,Alagoas,11,0,0,0
2020-03-28,,Alagoas,14,3,0,0
2020-03-29,,Alagoas,17,3,0,0
2020-03-15,19:15,Amapá,0,0,0,0
2020-03-16,15:50,Amapá,0,0,0,0
2020-03-17,18:10,Amapá,0,0,0,0
2020-03-18,20:00,Amapá,0,0,0,0
2020-03-19,,Amapá,0,0,0,0
2020-03-20,,Amapá,1,1,0,0
2020-03-21,,Amapá,1,0,0,0
2020-03-22,,Amapá,1,0,0,0
2020-03-23,,Amapá,1,0,0,0
2020-03-24,,Amapá,1,0,0,0
2020-03-25,,Amapá,1,0,0,0
2020-03-26,,Amapá,2,1,0,0
2020-03-27,,Amapá,2,0,0,0
2020-03-28,,Amapá,4,2,0,0
2020-03-29,,Amapá,4,0,0,0
2020-03-02,16:30,Amazonas,0,0,0,0
2020-03-03,15:50,Amazonas,0,0,0,0
2020-03-04,17:15,Amazonas,0,0,0,0
2020-03-05,16:00,Amazonas,0,0,0,0
2020-03-06,16:00,Amazonas,0,0,0,0
2020-03-07,18:35,Amazonas,0,0,0,0
2020-03-08,17:30,Amazonas,0,0,0,0
2020-03-10,16:05,Amazonas,0,0,0,0
2020-03-11,16:45,Amazonas,0,0,0,0
2020-03-12,16:20,Amazonas,0,0,0,0
2020-03-13,15:45,Amazonas,0,0,0,0
2020-03-14,16:25,Amazonas,0,0,0,0
2020-03-15,19:15,Amazonas,1,1,0,0
2020-03-16,15:50,Amazonas,1,0,0,0
2020-03-17,18:10,Amazonas,1,0,0,0
2020-03-18,20:00,Amazonas,1,0,0,0
2020-03-19,,Amazonas,3,2,0,0
2020-03-20,,Amazonas,7,4,0,0
2020-03-21,,Amazonas,11,4,0,0
2020-03-22,,Amazonas,26,15,0,0
2020-03-23,,Amazonas,32,6,0,0
2020-03-24,,Amazonas,47,15,0,0
2020-03-25,,Amazonas,54,7,1,1
2020-03-26,,Amazonas,67,13,1,0
2020-03-27,,Amazonas,81,14,1,0
2020-03-28,,Amazonas,111,30,1,0
2020-03-29,,Amazonas,140,29,1,0
2020-02-26,11:30,Bahia,0,0,0,0
2020-02-27,17:00,Bahia,0,0,0,0
2020-02-28,16:10,Bahia,0,0,0,0
2020-02-29,19:05,Bahia,0,0,0,0
2020-03-01,15:05,Bahia,0,0,0,0
2020-03-02,16:30,Bahia,0,0,0,0
2020-03-03,15:50,Bahia,0,0,0,0
2020-03-04,17:15,Bahia,0,0,0,0
2020-03-05,16:00,Bahia,0,0,0,0
2020-03-06,16:00,Bahia,1,1,0,0
2020-03-07,18:35,Bahia,2,1,0,0
2020-03-08,17:30,Bahia,2,0,0,0
2020-03-10,16:05,Bahia,2,0,0,0
2020-03-11,16:45,Bahia,2,0,0,0
2020-03-12,16:20,Bahia,2,0,0,0
2020-03-13,15:45,Bahia,2,0,0,0
2020-03-14,16:25,Bahia,2,0,0,0
2020-03-15,19:15,Bahia,2,0,0,0
2020-03-16,15:50,Bahia,2,0,0,0
2020-03-17,18:10,Bahia,3,1,0,0
2020-03-18,20:00,Bahia,3,0,0,0
2020-03-19,,Bahia,30,27,0,0
2020-03-20,,Bahia,33,3,0,0
2020-03-21,,Bahia,41,8,0,0
2020-03-22,,Bahia,49,8,0,0
2020-03-23,,Bahia,63,14,0,0
2020-03-24,,Bahia,76,13,0,0
2020-03-25,,Bahia,84,8,0,0
2020-03-26,,Bahia,104,20,0,0
2020-03-27,,Bahia,115,11,0,0
2020-03-28,,Bahia,128,13,0,0
2020-03-29,,Bahia,154,26,1,1
2020-01-30,16:00,Ceará,0,0,0,0
2020-01-31,12:00,Ceará,0,0,0,0
2020-02-01,12:00,Ceará,0,0,0,0
2020-02-02,12:00,Ceará,0,0,0,0
2020-02-03,16:00,Ceará,0,0,0,0
2020-02-04,15:00,Ceará,0,0,0,0
2020-02-05,12:00,Ceará,0,0,0,0
2020-02-06,15:30,Ceará,0,0,0,0
2020-02-06,15:30,Ceará,0,0,0,0
2020-02-07,15:30,Ceará,0,0,0,0
2020-02-08,13:30,Ceará,0,0,0,0
2020-02-09,13:30,Ceará,0,0,0,0
2020-02-10,15:30,Ceará,0,0,0,0
2020-02-11,16:00,Ceará,0,0,0,0
2020-02-12,16:00,Ceará,0,0,0,0
2020-02-13,16:00,Ceará,0,0,0,0
2020-02-14,16:00,Ceará,0,0,0,0
2020-02-15,14:00,Ceará,0,0,0,0
2020-02-16,12:00,Ceará,0,0,0,0
2020-02-17,15:50,Ceará,0,0,0,0
2020-02-18,15:50,Ceará,0,0,0,0
2020-02-19,15:50,Ceará,0,0,0,0
2020-02-20,15:50,Ceará,0,0,0,0
2020-02-21,14:30,Ceará,0,0,0,0
2020-02-22,13:40,Ceará,0,0,0,0
2020-02-23,12:30,Ceará,0,0,0,0
2020-02-24,12:25,Ceará,0,0,0,0
2020-02-25,13:50,Ceará,0,0,0,0
2020-02-25,13:50,Ceará,0,0,0,0
2020-02-26,11:30,Ceará,0,0,0,0
2020-02-27,17:00,Ceará,0,0,0,0
